City name,Airport Code,Airport Name,Country name
Mogilev,MVQ,Mogilev International Airport,Belarus
Mohanbari,MOH,Mohanbari International Airport,India
Moheli,NWA,Moheli International Airport,Comoros
Mohenjodaro,MJD,Mohenjodaro International Airport,Pakistan
Mojave,MHV,Kern County International Airport,United States
Mokhotlong,MKH,Mokhotlong International Airport,Lesotho
Moki,MJJ,Moki International Airport,Papua New Guinea
Mokpo,MPK,Mokpo International Airport,Korea (South)
Molde,MOL,Aro International Airport,Norway
Moline,MLI,Quad-City International Airport,United States
Moma,MMW,Moma International Airport,Mozambique
Mombasa,MBA,Moi International,Kenya
Momeik,MOE,Momeik International Airport,Myanmar
Mompos,MMP,Mompos International Airport,Colombia
Monahans,MIF,Roy Hurd Memorial International Airport,United States
Monbetsu,MBE,Monbetsu International Airport,Japan
Monclova,LOV,Monclova International Airport,Mexico
Monfort,MFB,Monfort International Airport,Colombia
Mong Hsat,MOG,Mong Hsat International Airport,Myanmar
Mong Ton,MGK,Mong Ton International Airport,Myanmar
Mongo,MVO,Mongo International Airport,Chad
Mongu,MNR,Mongu International Airport,Zambia
Monkey Bay,MYZ,Monkey Bay International Airport,Malawi
Monkey Mia,MJK,Shark Bay International Airport,Australia
Monkey Mountain,MYM,Monkey Mountain International Airport,Guyana
Monkira,ONR,Monkira International Airport,Australia
Mono,MNY,Mono International Airport,Solomon Islands
Monroe,MLU,Municipal International Airport,United States
Monroe,MVC,Monroe - Walton County International Airport,United States
Monrovia,ROB,Roberts Intl,Liberia
Monrovia,MLW,Sprigg Payne International Airport,Liberia
Mont Joli,YYY,Mont Joli International Airport,Canada
Mont Tremblant,YTM,La Macaza International Airport,Canada
Montagne Harbor,YMF,Montagne Harbor International Airport,Canada
Montague,SIY,Siskiyou County International Airport,United States
Montauk,MTP,Sky Portal International Airport,United States
Monte Alegre,MTE,Monte Alegre International Airport,Brazil
Monte Caseros,MCS,Monte Caseros International Airport,Argentina
Monte Dourado,MEU,Monte Dourado International Airport,Brazil
Monte Libano,MTB,Monte Libano International Airport,Colombia
Monteagudo,MHW,Monteagudo International Airport,Bolivia
Montego Bay,MBJ,Sangster International,Jamaica
Montepuez,MTU,Montepuez International Airport,Mozambique
Chicago,OAR,Ohara International,United States
Monterey,MRY,Monterey Peninsula International Airport,United States
Monteria,MTR,S. Jeronimo International Airport,Colombia
Monterrey,MOY,Monterrey International Airport,Colombia
Monterrey,NTR,Aeropuerto Del Norte International Airport,Mexico
Monterrey,MTY,Gen Mariano Escobedo International Airport,Mexico
Montes Claros,MOC,Montes Claros International Airport,Brazil
Montevideo,MVE,Municipal International Airport,"MINNESOTA"""
Montevideo,MVD,Carrasco International Airport,Uruguay
Montgomery,MGM,Dannelly Fld International Airport,United States
Montgomery,GUN,Gunter AFB International Airport,United States
Montgomery,MXF,Maxwell AFB International Airport,United States
Montgomery,MGJ,Orange County International Airport,United States
